Sprite Room,Monster Room,Same Room,Neighbor Room,Distance,State,Eats
6,2,0,0,375.107,Move to random point,0
6,2,0,0,305.457,Move to random point,0
6,2,0,0,391.892,Move to random point,0
5,2,0,1,390.695,Change Room,0
2,1,0,1,242.835,Move to random point,0
0,1,0,0,200.541,Move to random point,0
0,1,0,0,99.5666,Move to random point,0
0,1,0,0,295.505,Move to random point,0
0,1,0,0,206.266,Move to random point,0
0,1,0,0,130.049,Change Room,0
0,5,0,0,398.238,Move to random point,0
0,2,0,1,329.376,Move to random point,0
0,2,0,1,337.747,Move to random point,0
0,2,0,1,195.173,Move to random point,0
0,2,0,1,273.683,Move to random point,0
0,2,0,1,139.069,Move to random point,0
0,2,0,1,297.996,Change Room,0
2,4,0,0,414.627,Move to random point,0
2,4,0,0,401.464,Move to random point,0
3,4,0,0,233.363,Change Room,0
3,5,0,0,204.577,Move to random point,0
3,5,0,0,196.155,Move to random point,0
3,2,0,1,288.799,Move to random point,0
2,2,1,0,21.2862,Seek,0
0,5,0,0,398.235,Move to random point,0
0,5,0,0,403.813,Move to random point,0
0,5,0,0,339.335,Move to random point,0
0,5,0,0,488.508,Move to random point,0
0,5,0,0,310.248,Move to random point,0
0,5,0,0,367.809,Move to random point,0
0,2,0,1,307.723,Change Room,0
6,4,0,0,402.143,Move to random point,0
6,4,0,0,399.549,Move to random point,0
6,4,0,0,343.051,Move to random point,0
2,4,0,0,317.123,Change Room,0
2,5,0,1,255.758,Move to random point,0
2,2,1,0,139.235,Seek,0
5,2,0,1,66.9395,Move to random point,0
5,2,0,1,208.681,Change Room,0
5,6,0,1,153.02,Move to random point,0
2,6,0,0,332.354,Change Room,0
2,2,1,0,128.864,Seek,0
2,2,1,0,87.2774,Seek,0
5,2,0,1,128.969,Move to random point,0
5,2,0,1,117.686,Change Room,0
6,2,0,0,412.172,Move to random point,0
6,2,0,0,447.233,Move to random point,0
6,2,0,0,411.558,Move to random point,0
6,2,0,0,404.209,Move to random point,0
6,2,0,0,407.475,Move to random point,0
6,2,0,0,441.6,Move to random point,0
5,2,0,1,380.802,Change Room,0
0,1,0,0,149.342,Move to random point,0
0,1,0,0,293.849,Move to random point,0
2,1,0,1,229.334,Move to random point,0
2,1,0,1,183.728,Change Room,0
5,2,0,1,209.241,Move to random point,0
2,2,1,0,240.062,Seek,0
0,5,0,0,398.116,Move to random point,0
0,5,0,0,380.282,Move to random point,0
0,2,0,1,158.405,Move to random point,0
0,2,0,1,155.5,Move to random point,0
0,2,0,1,122.224,Move to random point,0
0,2,0,1,187.623,Move to random point,0
0,2,0,1,311.995,Move to random point,0
0,2,0,1,174.063,Change Room,0
2,4,0,0,448.541,Move to random point,0
0,4,0,0,449.768,Change Room,0
0,5,0,0,496.495,Move to random point,0
0,5,0,0,505.333,Move to random point,0
0,5,0,0,377.684,Move to random point,0
2,5,0,1,330.21,Move to random point,0
2,5,0,1,391.541,Change Room,0
5,6,0,1,231.385,Move to random point,0
5,6,0,1,269.981,Move to random point,0
2,6,0,0,279.685,Move to random point,0
2,6,0,0,286.913,Change Room,0
2,2,1,0,14.0886,Reset,1
0,5,0,0,398.097,Move to random point,0
0,2,0,1,313.461,Move to random point,0
0,2,0,1,233.457,Move to random point,0
0,2,0,1,175.814,Move to random point,0
0,2,0,1,214.822,Move to random point,0
0,2,0,1,144.444,Move to random point,0
2,2,1,0,314.754,Seek,0
0,5,0,0,398.105,Move to random point,0
0,2,0,1,335.717,Move to random point,0
0,2,0,1,301.336,Move to random point,0
0,2,0,1,325.169,Move to random point,0
0,2,0,1,296.436,Move to random point,0
0,2,0,1,144.388,Move to random point,0
0,2,0,1,117.342,Change Room,0
1,4,0,0,635.76,Move to random point,0
1,4,0,0,655.351,Change Room,0
2,2,1,0,109.285,Seek,0
2,2,1,0,90.2705,Seek,0
2,2,1,0,30.4197,Seek,0
2,2,1,0,47.3391,Seek,0
2,2,1,0,10.424,Reset,1
0,5,0,0,398.108,Move to random point,0
0,5,0,0,330.453,Move to random point,0
0,5,0,0,332.919,Move to random point,0
0,5,0,0,515.788,Move to random point,0
0,2,0,1,290.758,Move to random point,0
2,2,1,0,267.912,Seek,0
0,5,0,0,398.333,Move to random point,0
0,0,1,0,97.0339,Seek,0
0,0,1,0,65.9769,Seek,0
0,0,1,0,13,Reset,1
0,5,0,0,398.225,Move to random point,0
0,2,0,1,292.229,Move to random point,0
0,2,0,1,163.776,Move to random point,0
0,2,0,1,396.305,Move to random point,0
0,2,0,1,358.363,Move to random point,0
0,2,0,1,315.24,Change Room,0
2,4,0,0,357.902,Move to random point,0
2,4,0,0,228.955,Move to random point,0
2,4,0,0,393.164,Move to random point,0
2,4,0,0,371.493,Change Room,0
1,5,0,0,444.704,Move to random point,0
1,2,0,1,235.366,Move to random point,0
2,2,1,0,179.454,Seek,0
0,5,0,0,398.126,Move to random point,0
0,5,0,0,403.925,Move to random point,0
0,5,0,0,316.954,Move to random point,0
0,5,0,0,450.712,Move to random point,0
0,2,0,1,144.769,Change Room,0
1,4,0,0,513.692,Move to random point,0
1,4,0,0,423.032,Change Room,0
2,5,0,1,255.803,Move to random point,0
0,2,0,1,282.004,Move to random point,0
0,2,0,1,284.365,Move to random point,0
0,2,0,1,291.471,Move to random point,0
0,2,0,1,285.617,Move to random point,0
0,2,0,1,215.798,Change Room,0
1,6,0,0,552.466,Move to random point,0
1,6,0,0,529.884,Move to random point,0
1,6,0,0,539.607,Change Room,0
0,2,0,1,342.864,Move to random point,0
0,2,0,1,241.712,Move to random point,0
0,2,0,1,348.882,Change Room,0
2,2,1,0,176.794,Seek,0
0,5,0,0,398.148,Move to random point,0
0,2,0,1,383.306,Move to random point,0
0,2,0,1,165.724,Move to random point,0
0,2,0,1,216.317,Move to random point,0
0,2,0,1,259.264,Move to random point,0
0,2,0,1,200.935,Move to random point,0
0,2,0,1,170.709,Move to random point,0
0,2,0,1,235.489,Change Room,0
4,4,1,0,162.023,Seek,0
4,5,0,1,192.183,Change Room,0
5,2,0,1,321.621,Move to random point,0
2,2,1,0,275.004,Seek,0
0,5,0,0,398.21,Move to random point,0
0,5,0,0,436.902,Move to random point,0
0,5,0,0,411.274,Move to random point,0
0,5,0,0,443.748,Move to random point,0
0,5,0,0,487.466,Move to random point,0
0,2,0,1,332.517,Move to random point,0
0,2,0,1,359.474,Change Room,0
6,4,0,0,434.112,Move to random point,0
6,4,0,0,234.534,Change Room,0
5,5,1,0,283.145,Seek,0
2,6,0,0,310.367,Move to random point,0
2,6,0,0,396.492,Move to random point,0
2,6,0,0,396.464,Move to random point,0
2,6,0,0,404.952,Change Room,0
2,6,0,0,408.777,Move to random point,0
2,6,0,0,359.389,Move to random point,0
5,6,0,1,338.408,Move to random point,0
5,6,0,1,329.292,Move to random point,0
5,6,0,1,375.133,Move to random point,0
4,6,0,0,306.591,Move to random point,0
4,6,0,0,308.454,Change Room,0
5,5,1,0,271.29,Seek,0
0,5,0,0,398.286,Move to random point,0
0,2,0,1,263.966,Move to random point,0
0,2,0,1,276.82,Move to random point,0
0,2,0,1,254.047,Move to random point,0
0,2,0,1,357.44,Move to random point,0
0,2,0,1,272.122,Change Room,0
0,4,0,0,369.367,Move to random point,0
0,4,0,0,159.615,Move to random point,0
0,4,0,0,450.204,Change Room,0
5,5,1,0,216.803,Seek,0
0,5,0,0,398.232,Move to random point,0
0,2,0,1,345.916,Move to random point,0
0,2,0,1,212.992,Move to random point,0
0,2,0,1,192.45,Move to random point,0
0,2,0,1,113.897,Move to random point,0
0,2,0,1,336.305,Change Room,0
1,4,0,0,330.35,Move to random point,0
1,4,0,0,326.623,Move to random point,0
1,4,0,0,469.241,Change Room,0
2,4,0,0,256.273,Move to random point,0
5,4,0,0,424.577,Move to random point,0
5,4,0,0,487.963,Move to random point,0
5,4,0,0,192.5,Move to random point,0
5,4,0,0,322.468,Move to random point,0
5,4,0,0,407.774,Change Room,0
1,6,0,0,589.262,Move to random point,0
1,6,0,0,546.354,Move to random point,0
1,6,0,0,533.692,Move to random point,0
2,6,0,0,505.704,Change Room,0
0,5,0,0,398.151,Move to random point,0
0,2,0,1,463.998,Move to random point,0
0,2,0,1,293.196,Move to random point,0
0,2,0,1,178.64,Move to random point,0
0,2,0,1,259.323,Move to random point,0
0,2,0,1,152.112,Move to random point,0
0,2,0,1,226.305,Change Room,0
3,4,0,0,109.252,Move to random point,0
3,4,0,0,37.2002,Move to random point,0
5,4,0,0,287.726,Change Room,0
0,5,0,0,398.189,Move to random point,0
0,5,0,0,345.432,Move to random point,0
0,5,0,0,378.404,Move to random point,0
0,2,0,1,288.318,Move to random point,0
0,2,0,1,288.231,Move to random point,0
0,2,0,1,268.019,Change Room,0
0,4,0,0,234.824,Move to random point,0
0,4,0,0,388.219,Move to random point,0
0,4,0,0,210.586,Change Room,0
0,5,0,0,217.742,Move to random point,0
0,5,0,0,435.933,Move to random point,0
0,5,0,0,368.361,Move to random point,0
0,2,0,1,246.332,Change Room,0
3,6,0,0,401.201,Move to random point,0
3,6,0,0,371.135,Move to random point,0
2,6,0,0,423.112,Move to random point,0
2,6,0,0,385.475,Move to random point,0
2,6,0,0,336.671,Change Room,0
2,5,0,1,182.272,Move to random point,0
2,2,1,0,13.9726,Reset,1
0,5,0,0,398.083,Move to random point,0
0,3,0,0,218.021,Move to random point,0
0,3,0,0,234.556,Move to random point,0
0,3,0,0,188.529,Move to random point,0
0,3,0,0,233.316,Move to random point,0
0,3,0,0,222.043,Move to random point,0
0,3,0,0,190.627,Move to random point,0
0,3,0,0,155.929,Change Room,0
1,4,0,0,483.589,Move to random point,0
1,4,0,0,629.04,Change Room,0
2,5,0,1,366.787,Move to random point,0
0,5,0,0,307.622,Move to random point,0
0,5,0,0,326.144,Move to random point,0
0,5,0,0,280.019,Move to random point,0
0,5,0,0,453.011,Move to random point,0
2,2,1,0,166.457,Seek,0
0,5,0,0,398.21,Move to random point,0
0,5,0,0,370.545,Move to random point,0
0,5,0,0,370.359,Move to random point,0
0,2,0,1,274.158,Move to random point,0
0,2,0,1,172.564,Move to random point,0
0,2,0,1,229.03,Move to random point,0
0,2,0,1,316.583,Change Room,0
4,4,1,0,323.121,Seek,0
0,5,0,0,398.26,Move to random point,0
0,5,0,0,196.151,Move to random point,0
0,2,0,1,367.195,Move to random point,0
0,2,0,1,295.659,Move to random point,0
0,2,0,1,313.517,Move to random point,0
0,2,0,1,307.739,Change Room,0
0,4,0,0,230.281,Move to random point,0
0,4,0,0,410.639,Move to random point,0
0,4,0,0,485.148,Move to random point,0
0,4,0,0,490.74,Change Room,0
3,4,0,0,263.974,Move to random point,0
3,4,0,0,332.329,Move to random point,0
3,4,0,0,189.969,Move to random point,0
3,4,0,0,296.838,Move to random point,0
2,4,0,0,258.462,Change Room,0
2,6,0,0,455.94,Move to random point,0
2,6,0,0,371.8,Move to random point,0
2,6,0,0,335.035,Change Room,0
3,2,0,1,59.9302,Move to random point,0
3,2,0,1,263.207,Move to random point,0
3,2,0,1,118.565,Change Room,0
2,2,1,0,92.1385,Seek,0
0,5,0,0,398.101,Move to random point,0
0,5,0,0,388.75,Move to random point,0
0,5,0,0,489.974,Move to random point,0
0,2,0,1,297.579,Move to random point,0
0,2,0,1,251.087,Move to random point,0
0,2,0,1,314.993,Move to random point,0
0,2,0,1,276.435,Move to random point,0
0,2,0,1,272.642,Move to random point,0
0,2,0,1,153.481,Change Room,0
5,4,0,0,184.38,Move to random point,0
5,4,0,0,158.503,Move to random point,0
2,4,0,0,495.774,Change Room,0
3,5,0,0,359.444,Move to random point,0
3,5,0,0,115.79,Move to random point,0
3,5,0,0,177.088,Move to random point,0
3,5,0,0,249.851,Change Room,0
3,6,0,0,306.737,Move to random point,0
3,6,0,0,447.292,Move to random point,0
3,6,0,0,375.083,Change Room,0
3,5,0,0,252.548,Move to random point,0
2,5,0,1,266.662,Move to random point,0
0,2,0,1,259.432,Change Room,0
0,2,0,1,353.737,Move to random point,0
0,2,0,1,245.556,Move to random point,0
2,2,1,0,208.915,Seek,0
0,5,0,0,398.086,Move to random point,0
0,2,0,1,283.174,Move to random point,0
0,2,0,1,219.009,Move to random point,0
0,2,0,1,130.552,Move to random point,0
0,2,0,1,313.993,Move to random point,0
0,2,0,1,143.025,Change Room,0
1,4,0,0,293.41,Move to random point,0
2,4,0,0,462.522,Change Room,0
6,2,0,0,300.459,Move to random point,0
5,2,0,1,439.621,Move to random point,0
2,2,1,0,343.664,Seek,0
0,5,0,0,398.079,Move to random point,0
0,5,0,0,328.653,Move to random point,0
0,2,0,1,143.739,Move to random point,0
0,2,0,1,211.535,Move to random point,0
0,2,0,1,331.04,Move to random point,0
0,2,0,1,70.4265,Change Room,0
2,4,0,0,239.512,Move to random point,0
2,4,0,0,269.257,Move to random point,0
2,4,0,0,424.117,Change Room,0
0,2,0,1,389.934,Move to random point,0
0,2,0,1,386.359,Move to random point,0
0,2,0,1,254.812,Move to random point,0
0,2,0,1,198.441,Move to random point,0
0,2,0,1,173.954,Move to random point,0
2,2,1,0,148.058,Seek,0
0,5,0,0,398.07,Move to random point,0
0,5,0,0,376.688,Move to random point,0
0,2,0,1,374.578,Move to random point,0
0,2,0,1,365.562,Move to random point,0
0,2,0,1,179.803,Move to random point,0
0,2,0,1,383.543,Move to random point,0
0,2,0,1,390.555,Move to random point,0
0,2,0,1,314.241,Move to random point,0
0,2,0,1,272.338,Change Room,0
5,4,0,0,206.045,Move to random point,0
5,4,0,0,314.501,Move to random point,0
5,4,0,0,195.451,Change Room,0
0,5,0,0,282.416,Move to random point,0
0,2,0,1,224.297,Move to random point,0
0,2,0,1,351.232,Change Room,0
2,6,0,0,346.092,Move to random point,0
2,6,0,0,313.84,Move to random point,0
2,6,0,0,405.29,Move to random point,0
